,"('A', 0)","('A', 1)","('O', 0)","('O', 1)","('R', 0)","('R', 1)"
151,1,1,1,0,0,1
152,0,1,2,0,0,2
153,1,1,0,0,0,1
154,0,1,2,0,0,2
155,0,1,1,0,0,2
156,1,1,0,0,0,1
157,1,0,1,0,0,0
158,1,0,0,2,0,0
159,1,0,0,2,0,0
160,0,1,2,0,0,2
161,1,1,0,0,0,0
162,0,1,2,0,0,2
163,0,1,0,0,0,2
164,0,1,2,1,0,2
165,0,1,0,0,0,2
166,1,1,1,1,0,1
167,1,1,0,1,0,1
168,1,1,0,0,0,0
169,1,1,0,0,0,1
170,0,1,2,0,0,2
171,0,1,2,1,0,2
172,1,0,0,2,0,0
173,0,1,2,0,0,2
174,0,1,2,0,0,2
175,1,1,0,1,0,1
176,1,0,0,2,0,0
177,0,1,2,0,0,2
178,1,1,1,0,0,1
179,1,1,0,0,0,1
180,1,1,1,1,0,1
181,1,1,0,0,0,1
182,1,1,0,0,0,0
183,1,1,1,0,0,1
184,1,1,0,0,0,1
185,1,1,1,0,0,0
186,1,0,0,0,0,0
187,1,1,1,0,0,1
188,1,1,1,0,0,0
189,1,1,0,0,0,1
190,0,1,1,0,0,2
191,1,1,0,0,0,1
192,1,1,0,0,0,1
193,1,1,0,1,0,0
194,0,1,0,0,0,2
195,1,1,0,0,0,0
196,0,1,2,0,0,2
197,0,1,2,0,0,2
198,0,1,2,0,0,2
199,1,1,0,0,0,1
200,0,1,2,0,0,2
201,0,1,0,1,0,2
202,1,1,1,1,0,1
203,0,1,2,0,0,2
204,0,1,2,0,0,2
205,1,1,1,0,0,1
206,0,1,2,0,0,2
207,0,1,0,1,0,2
208,1,0,0,2,0,0
209,0,1,2,0,0,2
210,1,1,0,0,0,1
211,1,1,0,2,0,0
212,0,1,2,1,0,2
213,0,1,2,1,0,2
214,1,1,1,0,0,0
215,1,1,1,1,0,1
216,1,1,0,2,0,1
217,0,1,2,0,0,2
218,1,1,0,0,0,1
219,1,0,0,2,0,0
220,0,1,2,0,0,2
221,1,1,0,0,0,1
222,1,1,0,1,0,1
223,0,1,2,0,0,2
224,0,1,2,1,0,2
225,1,1,0,0,0,1
226,0,1,2,0,0,2
227,1,1,0,0,0,0
228,0,1,2,1,0,2
229,1,1,0,0,0,1
230,1,1,0,1,0,1
231,1,1,0,0,0,1
232,0,1,2,0,0,2
233,1,0,0,1,0,0
234,1,0,0,2,0,0
235,1,1,0,0,0,1
236,0,1,2,0,0,2
237,1,1,0,1,0,1
238,0,1,2,0,0,2
239,0,1,2,1,0,2
240,1,1,1,0,0,1
241,1,1,0,1,0,1
242,1,1,0,1,0,1
243,0,1,2,0,0,2
244,1,0,0,2,0,0
245,0,1,2,0,0,2
246,1,1,1,0,0,0
247,0,1,2,0,0,2
248,0,1,2,0,0,2
249,0,1,2,0,0,2
250,1,1,0,0,0,1
251,1,1,0,0,0,1
252,0,1,2,0,0,2
253,1,1,1,0,0,1
254,0,1,0,0,0,2
255,0,1,2,1,0,2
256,0,1,2,0,0,2
257,1,1,0,0,0,1
258,1,1,0,1,0,1
259,0,1,2,0,0,2
260,1,1,1,0,0,1
261,0,1,2,1,0,2
262,0,1,0,0,0,2
263,1,1,0,0,0,0
264,0,1,2,0,0,2
265,0,1,0,0,0,2
266,0,1,2,1,0,2
267,1,1,1,0,0,1
268,1,1,0,0,0,0
269,0,1,2,0,0,2
270,1,0,0,2,0,0
271,0,1,2,0,0,2
272,1,0,1,2,0,0
273,1,1,0,0,0,1
274,0,1,2,1,0,2
275,1,1,1,0,0,1
276,0,1,1,1,0,2
277,1,1,0,0,0,0
278,1,1,0,0,0,0
279,0,1,2,0,0,2
280,0,1,2,0,0,2
281,1,1,0,0,0,0
282,1,0,0,2,0,0
283,0,1,2,0,0,2
284,0,1,0,1,0,2
285,0,1,2,0,0,2
286,0,1,2,0,0,2
287,0,1,2,0,0,2
288,0,1,2,1,0,2
289,0,1,2,0,0,2
290,0,1,2,1,0,2
291,1,1,0,0,0,1
292,0,1,2,1,0,2
293,1,0,1,2,0,0
294,1,1,0,1,0,1
295,1,1,1,0,0,1
296,1,0,0,0,0,0
297,0,1,2,0,0,2
298,0,1,2,1,0,2
299,0,1,2,0,0,2
300,0,1,2,0,0,2
301,0,1,2,0,0,2
302,0,1,2,0,0,2
303,0,1,2,0,0,2
304,1,1,1,0,0,1
305,1,1,1,0,0,1
306,1,1,2,0,0,0
307,1,1,0,0,0,1
308,0,1,2,0,0,2
309,1,1,0,1,0,1
310,1,1,1,1,0,1
311,1,1,0,0,0,1
312,0,1,2,0,0,2
313,1,1,0,0,0,1
314,0,1,1,0,0,2
315,0,1,0,0,0,2
316,1,1,1,0,0,1
317,0,1,2,1,0,2
318,0,1,2,1,0,2
319,1,0,1,2,0,0
320,1,1,0,0,0,1
321,1,1,0,1,0,1
322,1,1,0,0,0,0
323,1,1,0,0,0,1
324,0,1,1,0,0,2
325,0,1,2,1,0,2
326,0,1,2,1,0,2
327,1,1,0,0,0,1
328,0,1,0,1,0,2
329,1,1,0,0,0,1
330,1,1,1,0,0,0
331,0,1,2,0,0,2
332,1,1,0,0,0,1
333,1,1,0,0,0,1
334,0,1,2,0,0,2
335,0,1,2,0,0,2
336,0,1,2,1,0,2
337,1,1,0,0,0,1
338,0,1,2,0,0,2
339,1,1,2,0,0,1
340,0,1,2,0,0,2
341,0,1,2,0,0,2
342,1,1,0,1,0,1
343,0,1,2,0,0,2
344,0,1,0,0,0,2
345,0,1,0,1,0,2
346,1,1,0,1,0,1
347,1,1,0,0,0,1
348,0,1,2,1,0,2
349,0,1,2,0,0,2
350,1,1,0,1,0,1
351,1,1,1,1,0,1
352,1,1,0,0,0,1
353,1,1,0,0,0,1
354,1,1,0,1,0,0
355,0,1,0,1,0,2
356,1,1,0,0,0,1
357,0,1,2,0,0,2
358,1,0,0,2,0,0
359,1,1,0,0,0,1
360,0,1,0,0,0,2
361,1,1,1,0,0,1
362,0,1,2,0,0,2
363,0,1,2,1,0,2
364,1,1,1,0,0,1
365,0,1,2,0,0,2
366,1,1,0,1,0,1
367,0,1,2,0,0,2
368,1,0,1,2,0,0
369,1,1,1,1,0,0
370,0,1,0,0,0,2
371,0,1,2,0,0,2
372,0,1,2,0,0,2
373,1,1,0,0,0,1
374,1,1,1,0,0,1
375,0,1,2,0,0,2
376,0,1,2,1,0,2
377,1,1,0,1,0,0
378,1,1,0,1,0,1
379,0,1,2,1,0,2
380,1,1,1,0,0,0
381,0,1,2,0,0,2
382,0,1,2,1,0,2
383,0,1,2,1,0,2
384,1,1,1,1,0,1
385,0,1,2,0,0,2
386,1,1,1,0,0,1
387,0,1,1,0,0,2
388,0,1,1,0,0,2
389,1,1,1,0,0,1
390,1,1,0,0,0,1
391,0,1,1,2,0,2
392,0,1,2,0,0,2
393,1,1,0,0,0,1
394,1,1,0,0,0,1
395,0,1,2,0,0,2
396,0,1,0,0,0,2
397,1,0,1,2,0,0
398,0,1,2,0,0,2
399,1,1,0,0,0,1
400,0,1,0,0,0,2
401,1,1,0,0,0,1
402,1,1,1,1,0,1
403,1,1,0,0,0,1
404,0,1,2,1,0,2
405,0,1,2,0,0,2
406,1,1,0,1,0,0
407,0,1,2,0,0,2
408,0,1,2,0,0,2
409,0,1,0,0,0,2
410,0,1,1,0,0,2
411,0,1,1,0,0,2
412,1,0,0,2,0,0
413,1,1,0,0,0,1
414,1,1,1,1,0,1
415,1,1,0,1,0,0
416,1,1,0,0,0,1
417,0,1,2,0,0,2
418,0,1,2,1,0,2
419,1,1,0,0,0,1
420,1,1,0,0,0,1
421,0,1,2,0,0,2
422,0,1,2,1,0,2
423,1,1,0,1,0,1
424,0,1,2,0,0,2
425,1,1,0,1,0,1
426,0,1,2,0,0,2
427,1,1,0,0,0,0
428,0,1,2,0,0,2
429,1,1,0,0,0,1
430,1,1,0,0,0,1
431,0,1,2,0,0,2
432,1,1,0,0,0,1
433,1,0,0,2,0,0
434,0,1,2,1,0,2
435,0,1,2,0,0,2
436,1,0,0,2,0,0
437,1,1,0,0,0,1
438,0,1,2,0,0,2
439,0,1,1,0,0,2
440,1,1,0,0,0,1
441,0,1,2,0,0,2
442,1,1,1,0,0,0
443,0,1,2,1,0,2
444,1,1,0,1,0,1
445,0,1,2,1,0,2
446,0,1,2,0,0,2
447,0,1,2,0,0,2
448,0,1,2,1,0,2
449,0,1,2,0,0,2
450,1,0,1,0,0,0
451,1,1,1,0,0,0
452,0,1,0,0,0,2
453,0,1,0,0,0,2
454,0,1,2,0,0,2
455,1,1,1,0,0,1
456,0,1,2,0,0,2
457,0,1,2,1,0,2
458,0,1,2,0,0,2
459,1,0,1,1,0,0
460,1,1,0,1,0,1
461,1,1,0,1,0,1
462,0,1,2,0,0,2
463,1,1,0,1,0,1
464,1,1,0,0,0,1
465,1,1,1,1,0,1
466,0,1,2,0,0,2
467,1,1,1,1,0,1
468,0,1,0,0,0,2
469,1,1,0,1,0,0
470,0,1,2,0,0,2
471,1,0,1,2,0,0
472,1,1,0,0,0,0
473,0,1,2,0,0,2
474,1,1,1,1,0,1
475,1,0,0,2,0,0
476,0,1,0,0,0,2
477,0,1,2,0,0,2
478,0,1,2,0,0,2
479,1,1,0,0,0,0
480,0,1,0,0,0,2
481,1,1,0,0,0,1
482,1,1,0,0,0,1
483,1,0,0,2,0,0
484,1,1,1,0,0,1
485,0,1,2,1,0,2
486,0,1,2,1,0,2
487,0,1,2,0,0,2
488,1,1,0,1,0,0
489,0,1,2,0,0,2
490,1,1,0,0,0,0
491,1,1,0,0,0,1
492,1,1,0,1,0,1
493,0,1,2,1,0,2
494,0,1,2,0,0,2
495,0,1,2,0,0,2
496,1,1,0,0,0,0
497,1,1,0,0,0,1
498,0,1,1,0,0,2
499,0,1,2,0,0,2
500,1,1,0,0,0,0
501,1,1,0,1,0,1
502,0,1,2,0,0,2
503,1,1,1,0,0,0
504,1,1,1,0,0,1
505,0,1,2,0,0,2
506,0,1,1,0,0,2
507,0,1,2,0,0,2
508,1,0,0,2,0,0
509,1,0,0,2,0,0
510,0,1,0,0,0,2
511,1,1,2,1,0,1
512,1,1,1,0,0,1
513,1,0,0,2,0,0
514,0,1,0,0,0,2
515,1,1,0,0,0,0
516,1,1,0,1,0,1
517,1,1,0,0,0,0
518,1,1,0,0,0,1
519,0,1,2,0,0,2
520,1,1,0,0,0,1
521,0,1,2,1,0,2
522,1,1,0,0,0,1
523,1,1,0,0,0,0
524,0,1,2,0,0,2
525,1,1,0,1,0,0
526,1,1,0,0,0,1
527,0,1,2,0,0,2
528,1,1,0,1,0,1
529,1,1,0,0,0,1
530,1,1,0,0,0,0
531,0,1,2,0,0,2
532,1,1,1,1,0,1
533,0,1,0,0,0,2
534,1,1,0,0,0,1
535,0,1,2,1,0,2
536,0,1,2,0,0,2
537,0,1,2,0,0,2
538,1,0,2,2,0,0
539,1,0,1,0,0,0
540,0,1,2,1,0,2
541,0,1,2,0,0,2
542,0,1,2,0,0,2
543,1,1,1,0,0,1
544,1,1,0,0,0,1
545,1,1,0,0,0,1
546,0,1,2,1,0,2
547,0,1,2,1,0,2
548,0,1,2,0,0,2
549,1,0,1,2,0,0
550,0,1,2,0,0,2
551,1,1,0,0,0,0
552,0,1,2,1,0,2
553,0,1,2,1,0,2
554,1,1,0,0,0,1
555,1,0,0,0,0,0
556,1,0,0,2,0,0
557,1,1,1,0,0,1
558,0,1,2,0,0,2
559,0,1,0,0,0,2
560,0,1,2,1,0,2
561,1,1,1,0,0,0
562,0,1,2,0,0,2
563,1,1,1,1,0,1
564,0,1,1,0,0,2
565,0,1,2,0,0,2
566,1,1,0,0,0,0
567,1,0,0,2,0,0
568,1,1,0,0,0,1
569,1,1,0,1,0,0
570,0,1,2,0,0,2
571,1,1,0,0,0,0
572,0,1,2,0,0,2
573,0,1,2,0,0,2
574,1,0,0,2,0,0
575,1,1,0,1,0,1
576,0,1,2,0,0,2
577,1,1,0,0,0,1
578,0,1,2,0,0,2
579,1,1,0,0,0,0
580,0,1,0,0,0,2
581,1,0,0,2,0,0
582,0,1,2,0,0,2
583,1,1,1,0,0,1
584,1,1,1,1,0,1
585,1,0,0,2,0,0
586,0,1,2,0,0,2
587,1,1,0,1,0,1
588,0,1,2,2,0,2
589,0,1,0,0,0,2
590,1,1,0,0,0,0
591,1,0,0,2,0,0
592,1,1,0,1,0,1
593,1,1,0,0,0,0
594,0,1,2,0,0,2
595,0,1,2,0,0,2
596,1,1,1,0,0,1
597,1,0,0,2,0,0
598,0,1,2,1,0,2
599,0,1,2,1,0,2
600,1,1,1,0,0,1
601,1,1,0,0,0,1
602,1,0,1,2,0,0
603,1,1,0,0,0,1
604,1,1,1,0,0,0
605,1,1,1,0,0,1
606,0,1,0,1,0,2
607,1,1,0,1,0,0
608,1,0,0,2,0,0
609,1,1,1,1,0,1
610,0,1,2,0,0,2
611,1,1,1,0,0,1
612,0,1,2,1,0,2
613,1,1,0,0,0,1
614,0,1,2,1,0,2
615,1,1,0,0,0,1
616,1,1,0,1,0,1
617,1,1,0,1,0,1
618,0,1,0,2,0,2
619,1,0,0,2,0,0
620,0,1,2,0,0,2
621,1,1,0,0,0,1
622,0,1,2,1,0,2
623,0,1,2,0,0,2
624,0,1,2,0,0,2
625,0,1,2,0,0,2
626,1,1,0,0,0,1
627,0,1,2,0,0,2
628,0,1,2,1,0,2
629,0,1,2,0,0,2
630,1,1,0,0,0,1
631,0,1,2,0,0,2
632,1,0,1,2,0,0
633,1,1,1,0,0,0
634,1,1,0,1,0,1
635,1,0,0,0,0,0
636,1,1,1,0,0,0
637,1,1,0,0,0,1
638,0,1,1,0,0,2
639,0,1,1,1,0,2
640,1,1,0,0,0,1
641,0,1,0,0,0,2
642,0,1,2,1,0,2
643,1,1,0,0,0,1
644,1,1,1,0,0,1
645,1,1,0,0,0,0
646,0,1,2,1,0,2
647,1,1,1,0,0,1
648,1,1,0,0,0,1
649,0,1,2,0,0,2
650,0,1,2,0,0,2
651,0,1,2,0,0,2
652,1,1,0,0,0,1
653,1,1,0,0,0,1
654,1,1,0,0,0,1
655,0,1,2,1,0,2
656,1,0,1,2,0,0
657,1,1,1,2,0,1
658,1,1,1,1,0,1
659,1,1,0,0,0,1
660,1,1,0,0,0,1
661,1,1,0,1,0,1
662,1,0,0,2,0,0
663,0,1,2,0,0,2
664,1,1,1,1,0,1
665,0,1,2,0,0,2
666,0,1,1,1,0,2
667,0,1,2,0,0,2
668,1,1,0,0,0,1
669,1,1,1,1,0,1
670,0,1,2,0,0,2
671,1,1,0,0,0,0
672,0,1,2,0,0,2
673,0,1,2,0,0,2
674,1,1,1,0,0,0
675,0,1,1,0,0,2
676,0,1,2,0,0,2
677,0,1,0,2,0,2
678,1,1,0,0,0,1
679,1,1,1,0,0,1
680,0,1,2,0,0,2
681,1,1,0,0,0,1
682,1,1,0,0,0,1
683,0,1,2,0,0,2
684,0,1,2,0,0,2
685,1,1,0,0,0,1
686,1,1,0,1,0,0
687,0,1,2,1,0,2
688,0,1,2,0,0,2
689,1,1,0,0,0,0
690,1,1,0,0,0,1
691,1,1,2,1,0,1
692,1,1,0,0,0,0
693,0,1,2,0,0,2
694,0,1,2,1,0,2
695,0,1,2,0,0,2
696,1,1,1,0,0,1
697,0,1,2,0,0,2
698,0,1,2,0,0,2
699,1,1,0,0,0,1
700,1,1,0,0,0,0
701,1,1,0,0,0,1
702,1,0,0,0,0,0
703,1,0,1,2,0,0
704,1,1,0,0,0,1
705,0,1,2,1,0,2
706,1,0,0,2,0,0
707,1,1,0,0,0,1
708,0,1,2,1,0,2
709,0,1,2,0,0,2
710,0,1,2,0,0,2
711,1,1,1,0,0,1
712,1,1,1,0,0,0
713,1,0,0,2,0,0
714,1,1,1,1,0,1
715,1,0,1,0,0,0
716,0,1,2,0,0,2
717,1,1,1,0,0,0
718,0,1,2,0,0,2
719,1,1,0,0,0,1
720,0,1,2,0,0,2
721,1,1,0,0,0,1
722,1,1,1,0,0,0
723,1,1,0,2,0,0
724,1,1,1,0,0,1
725,1,1,0,1,0,0
726,1,1,0,1,0,1
727,1,0,2,2,0,0
728,0,1,2,0,0,2
729,0,1,2,0,0,2
730,0,1,2,0,0,2
731,0,1,2,0,0,2
732,1,1,0,1,0,1
733,0,1,2,1,0,2
734,0,1,2,2,0,2
735,0,1,0,0,0,2
736,0,1,2,0,0,2
737,0,1,2,1,0,2
738,1,1,0,0,0,0
739,0,1,2,1,0,2
740,0,1,2,0,0,2
741,1,0,1,2,0,0
742,1,1,0,1,0,1
743,1,1,1,0,0,0
744,0,1,2,1,0,2
745,1,1,0,1,0,0
746,0,1,2,0,0,2
747,0,1,2,0,0,2
748,1,1,0,1,0,1
749,1,0,0,2,0,0
750,0,1,2,0,0,2
751,0,1,2,0,0,2
752,0,1,2,0,0,2
753,0,1,2,0,0,2
754,0,1,2,0,0,2
755,1,1,1,0,0,1
756,1,1,0,0,0,1
757,1,1,0,0,0,1
758,0,1,2,0,0,2
759,0,1,2,0,0,2
760,0,1,2,0,0,2
761,0,1,2,1,0,2
762,1,1,0,1,0,1
763,0,1,2,0,0,2
764,0,1,0,0,0,2
765,1,1,0,1,0,1
766,1,1,1,1,0,1
767,0,1,2,0,0,2
768,1,0,0,2,0,0
769,0,1,2,0,0,2
770,1,1,1,0,0,1
771,0,1,2,1,0,2
772,0,1,2,1,0,2
773,1,1,0,0,0,1
774,1,1,1,0,0,1
775,0,1,2,0,0,2
776,0,1,2,0,0,2
777,0,1,2,0,0,2
778,0,1,2,0,0,2
779,1,1,0,0,0,0
780,0,1,2,0,0,2
781,0,1,2,0,0,2
782,0,1,0,0,0,2
783,1,1,0,0,0,1
784,1,1,0,0,0,1
785,0,1,2,0,0,2
786,0,1,2,0,0,2
787,1,1,1,1,0,1
788,0,1,2,0,0,2
789,0,1,2,0,0,2
790,1,1,0,0,0,1
791,1,1,0,0,0,1
792,0,1,2,0,0,2
793,1,1,0,1,0,1
794,0,1,2,1,0,2
795,0,1,0,0,0,2
796,1,0,2,2,0,0
797,0,1,0,0,0,2
798,0,1,2,0,0,2
799,0,1,2,0,0,2
800,1,1,0,1,0,1
801,0,1,0,1,0,2
802,1,1,0,0,0,1
803,1,1,0,0,0,1
804,1,1,0,0,0,1
805,1,1,0,0,0,0
806,0,1,2,1,0,2
807,1,1,1,0,0,1
808,0,1,2,1,0,2
809,1,1,2,0,0,1
810,1,1,0,0,0,0
811,0,1,0,0,0,2
812,1,1,0,0,0,0
813,0,1,2,0,0,2
814,0,1,2,0,0,2
815,1,1,0,0,0,1
816,0,1,2,0,0,2
817,0,1,2,0,0,2
818,1,1,0,0,0,1
819,0,1,2,0,0,2
820,1,0,0,2,0,0
821,0,1,2,0,0,2
822,0,1,2,0,0,2
823,0,1,2,0,0,2
824,0,1,0,0,0,2
825,1,0,0,2,0,0
826,0,1,2,0,0,2
827,0,1,0,1,0,2
828,1,0,1,2,0,0
829,1,1,1,0,0,1
830,0,1,2,1,0,2
831,0,1,2,0,0,2
832,0,1,0,0,0,2
833,0,1,2,1,0,2
834,1,1,1,0,0,1
835,1,1,1,0,0,1
836,1,1,1,0,0,0
837,0,1,0,0,0,2
838,0,1,2,0,0,2
839,0,1,2,0,0,2
840,1,1,0,1,0,1
841,1,1,1,1,0,1
842,0,1,2,1,0,2
843,0,1,2,1,0,2
844,1,1,0,0,0,0
845,0,1,2,0,0,2
846,0,1,2,1,0,2
847,0,1,2,0,0,2
848,1,1,1,0,0,1
849,1,1,0,1,0,1
850,0,1,2,0,0,2
851,1,1,0,0,0,1
852,0,1,2,0,0,2
853,1,1,0,0,0,1
854,1,1,1,1,0,1
855,0,1,1,0,0,2
856,1,1,0,1,0,0
857,1,0,1,2,0,0
858,1,1,0,0,0,0
859,1,1,1,0,0,1
860,1,1,0,0,0,1
861,1,0,1,2,0,0
862,1,0,0,0,0,0
863,1,1,0,0,0,1
864,1,0,1,2,0,0
865,0,1,1,0,0,2
866,0,1,1,1,0,2
867,0,1,2,0,0,2
868,1,1,1,0,0,0
869,1,1,1,1,0,1
870,1,0,0,2,0,0
871,0,1,2,0,0,2
872,1,0,0,2,0,0
873,0,1,2,1,0,2
874,1,0,0,2,0,0
875,1,1,0,1,0,1
876,0,1,2,0,0,2
877,0,1,2,0,0,2
878,1,1,0,0,0,1
879,1,1,0,2,0,1
880,0,1,2,0,0,2
881,0,1,2,0,0,2
882,1,1,0,0,0,1
883,0,1,2,1,0,2
884,0,1,2,0,0,2
885,0,1,2,0,0,2
886,1,1,2,1,0,1
887,1,0,0,2,0,0
888,1,1,0,0,0,1
889,1,1,1,0,0,1
890,0,1,2,1,0,2
891,0,1,2,0,0,2
892,0,1,2,0,0,2
893,0,1,2,0,0,2
894,1,1,1,1,0,1
895,1,0,0,2,0,0
896,0,1,2,1,0,2
897,1,0,0,2,0,0
898,1,1,0,1,0,1
899,0,1,0,0,0,2
900,1,1,1,0,0,1
901,0,1,2,0,0,2
902,0,1,2,1,0,2
903,0,1,2,0,0,2
904,1,1,0,0,0,1
905,1,1,0,0,0,1
906,1,1,0,0,0,1
907,0,1,2,1,0,2
908,0,1,2,1,0,2
909,0,1,2,0,0,2
910,1,1,0,0,0,1
911,0,1,2,0,0,2
912,0,1,2,1,0,2
913,1,0,0,2,0,0
914,1,1,1,1,0,0
915,0,1,0,0,0,2
916,0,1,2,2,0,2
917,0,1,2,0,0,2
918,0,1,2,0,0,2
919,1,0,0,2,0,0
920,0,1,2,1,0,2
921,0,1,1,1,0,2
922,0,1,2,0,0,2
923,0,1,2,1,0,2
924,1,1,1,0,0,1
925,1,1,0,1,0,1
926,1,1,1,0,0,1
927,0,1,0,0,0,2
928,0,1,2,0,0,2
929,0,1,2,0,0,2
930,0,1,2,0,0,2
931,1,1,0,0,0,1
932,1,1,0,0,0,1
933,0,1,2,1,0,2
934,0,1,2,0,0,2
935,0,1,2,0,0,2
936,0,1,1,0,0,2
937,0,1,2,0,0,2
938,1,1,0,0,0,1
939,1,0,2,2,0,0
940,0,1,2,0,0,2
941,0,1,2,1,0,2
942,0,1,2,1,0,2
943,1,0,0,1,0,0
944,1,0,0,2,0,0
945,0,1,2,1,0,2
946,1,0,0,2,0,0
947,1,0,0,2,0,0
948,1,1,1,0,0,1
949,1,1,2,0,0,1
950,1,0,1,2,0,0
951,1,1,1,0,0,0
952,0,1,2,0,0,2
953,1,1,0,0,0,1
954,0,1,2,0,0,2
955,0,1,0,0,0,2
956,1,1,0,0,0,1
957,0,1,0,1,0,2
958,0,1,2,0,0,2
959,1,1,1,0,0,1
960,1,1,0,0,0,1
961,0,1,2,0,0,2
962,1,1,0,0,0,1
963,1,1,0,0,0,1
964,0,1,2,0,0,2
965,1,1,2,1,0,0
966,1,1,0,1,0,1
967,0,1,2,1,0,2
968,1,1,1,0,0,0
969,0,1,2,0,0,2
970,1,1,0,0,0,1
971,1,1,0,0,0,0
972,0,1,2,1,0,2
973,1,1,0,0,0,1
974,1,1,1,1,0,1
975,1,1,0,1,0,1
976,1,1,0,0,0,0
977,1,1,1,0,0,1
978,1,1,1,0,0,1
979,0,1,2,0,0,2
980,0,1,2,0,0,2
981,1,1,0,0,0,0
982,1,1,0,1,0,1
983,1,0,0,0,0,0
984,1,0,1,2,0,0
985,0,1,2,0,0,2
986,1,0,0,2,0,0
987,0,1,2,1,0,2
988,0,1,2,0,0,2
989,0,1,0,1,0,2
990,1,1,1,0,0,0
991,1,1,0,0,0,1
992,0,1,2,1,0,2
